model,clip_id,locality,condition,difficulty,hypothesis,ref_used,wer,cer,locality_score,locality_hit,locality_partial,matched_alias,matched_span,phonetic_sim,latency_s,error
groq_whisper_large_v3,20,Thalaghattapura,whispered,hard, थाला घाटापुरा की तरफ नई अपार्टमेंट्स बन रही हैं बहुत सारे,devanagari,0.3333,0.2245,75.0,False,True,थलघटपुरा,घाटापुरा,0.125,0.336,
indic_conformer,01,Koramangala,quiet,easy,हाँ भैया मैं कोरामंगला में रहता हूँ फिफ्थ ब्लॉक के पास,devanagari,0.1818,0.1176,100.0,True,False,कोरामंगला,कोरामंगला,0.333,3.382,
indic_conformer,02,Indiranagar,quiet,easy,मेरा घर इंदराानगर में है ट्वेल्थ मेन रोड पर ठीक है,devanagari,0.4444,0.4,88.9,True,False,इंदिरानगर,इंदराानगर,0.222,1.419,
indic_conformer,03,Whitefield,traffic_noise,easy,मेरा ऑफिस व्हाइट फील्ड्स में है सर डेली वन आवर लगता है मुझे आने में,devanagari,0.5,0.3455,90.9,True,False,व्हाइटफील्ड,व्हाइट फील्,0.455,1.175,
indic_conformer,04,Electronic City,phone_call,easy,भाई मैं इलक्ट्रानिक सिटी फेस वन में जॉब करता हूँ इंफोर्सेिस के पास,devanagari,0.2308,0.1231,88.2,True,False,इलेक्ट्रॉनिक सिटी, इलक्ट्रानिक सिटी,0.471,1.396,
indic_conformer,05,Marathahalli,traffic_noise,medium,मराथली ब्रिज के नीचे ट्रैफिक बहुत होता है रोज़हाार,devanagari,0.2222,0.1633,66.7,False,True,मराठहल्ली,मराथली ब्,0.333,0.756,
indic_conformer,06,Jayanagar,quiet,easy,फैमिल जयनगर पोर्थ बलाक में शिफ्ट हो गई है पिछले साल,devanagari,0.4,0.2292,100.0,True,False,जयनगर,जयनगर,0.0,0.855,
indic_conformer,07,HSR Layout,traffic_noise,medium,एचएसआर लेआउट सेक्टर टू में डिलीवरी का काम करता हूँ मैं,devanagari,0.0909,0.0377,100.0,True,False,एचएसआर लेआउट,एचएसआर लेआउट,0.167,1.305,
indic_conformer,08,BTM Layout,phone_call,medium,बीटीएम लेआउट सेकेंड स्टेज में रहते हैं हम दो साल से,devanagari,0.0909,0.125,100.0,True,False,बीटीएम लेआउट,बीटीएम लेआउट,0.333,1.054,
indic_conformer,09,Majestic,rushed,easy,बस स्टैंड मजिस्टिक से मैसर की बस मिलती है हर घंटे ठीक है,devanagari,0.3636,0.1961,77.8,False,True,मैजेस्टिक, मजिस्टिक,0.444,1.592,
indic_conformer,10,Hebbal,quiet,easy,हैबल फ्लाईओवर क्रॉस करके सीधा आना फिर लेफ्ट मैं वहीं पर खड़ा हूं,devanagari,0.75,0.5333,75.0,False,True,हेबल,हैबल,0.25,1.239,
indic_conformer,11,Byatarayanapura,whispered,hard,मेरा एड्रेस बेतराइनाापुरा है नॉर्थ बेंगलोर साइड में,devanagari,0.4286,0.2553,61.5,False,True,ब्यातरायणपुरा,बेतराइनाापुरा,0.385,0.974,
indic_conformer,12,Kadugondanahalli,phone_call,hard,अः कद्दुगोद नली के पास एक गारमेंट फैक्ट्री में काम करता था मैं पहले,devanagari,0.6,0.3818,54.5,False,False,कडुगोंडनहली,कद्दुगोद नल,0.273,1.254,
indic_conformer,13,Hesaraghatta,quiet,hard,केसरघाटा लेक साइड में एक फार्म है हमारा हम लोग वहां पर वीकएंड प जाते हैं,devanagari,0.5833,0.339,70.6,False,True,हेसरघट्टा,केसरघाटा ,0.333,1.348,
indic_conformer,14,Chikkabanavara,traffic_noise,hard,चिक्का बनवारवारा स्टेशन से ट्रेन पकड़ के आता हूं मैं डेली,devanagari,0.3,0.1321,81.8,False,True,चिक्कबनवारा,चिक्का बनवा,0.455,1.138,
indic_conformer,15,Rajarajeshwarinagar,rushed,hard,भैया मैं राजराेश्वरी नगर में रूम ढूंढ रहा हूँ थोड़ा सस्ता वाला,devanagari,0.4444,0.2308,93.8,True,False,राजराजेश्वरी नगर, राजराेश्वरी नगर,0.375,1.166,
indic_conformer,16,Kothanur Dinne,whispered,hard,कोथानूर दने के पास वाली कॉलोनी में रहता हूँ मै,devanagari,0.3,0.102,83.3,False,True,कोथनूर दिन्ने,कोथानूर दने क,0.385,0.967,
indic_conformer,17,Thanisandra,phone_call,medium,तुम्हें पता है अ धनीसंद्रा मेन रोड पर नया मेट्रो स्टेशन खुल रहा है,devanagari,0.5,0.3673,77.8,False,True,तनिसंद्रा,धनीसंद्रा,0.333,1.212,
indic_conformer,18,Doddanekundi,traffic_noise,hard,दोधन ने कुड़ी इंडस्ट्रियल एरिया में बहुत कंपनियों से असर,devanagari,0.75,0.2182,60.9,False,True,दोड्डनेकुंडी,दोधन ने कुड़,0.333,1.078,
indic_conformer,19,Kengeri Upanagara,rushed,hard,केंगेरी उपनगर मेट्रो तक रोज ोटो से जाता हूं मैं तो,devanagari,0.5556,0.2273,100.0,True,False,केंगेरी उपनगर,केंगेरी उपनगर,0.308,1.054,
indic_conformer,20,Thalaghattapura,whispered,hard,थालाघाटापुरा की तरफ नई अपार्टमेंट्स बन रही हैं बहुत सारी,devanagari,0.2222,0.2041,75.0,False,True,थलघटपुरा,घाटापुरा,0.125,1.179,
indic_whisper_fallback,01,Koramangala,quiet,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,02,Indiranagar,quiet,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,03,Whitefield,traffic_noise,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,04,Electronic City,phone_call,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,05,Marathahalli,traffic_noise,medium,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,06,Jayanagar,quiet,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,07,HSR Layout,traffic_noise,medium,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,08,BTM Layout,phone_call,medium,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,09,Majestic,rushed,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,10,Hebbal,quiet,easy,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,11,Byatarayanapura,whispered,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,12,Kadugondanahalli,phone_call,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,13,Hesaraghatta,quiet,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,14,Chikkabanavara,traffic_noise,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,15,Rajarajeshwarinagar,rushed,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,16,Kothanur Dinne,whispered,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,17,Thanisandra,phone_call,medium,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,18,Doddanekundi,traffic_noise,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,19,Kengeri Upanagara,rushed,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
indic_whisper_fallback,20,Thalaghattapura,whispered,hard,,,1.0,1.0,0.0,False,False,,,0.0,0.0,no_transcript
sarvam_saarika_v2_5,01,Koramangala,quiet,easy,हाँ भैया मैं कोरामंगला में रहता हूँ फिफ्थ ब्लॉक के पास,devanagari,0.1818,0.1176,100.0,True,False,कोरामंगला,कोरामंगला,0.333,2.222,
sarvam_saarika_v2_5,02,Indiranagar,quiet,easy,"मेरा घर इंदिरानगर में है, 12th मेन रोड पर, ठीक है?",devanagari,0.2222,0.175,100.0,True,False,इंदिरानगर,इंदिरानगर,0.222,0.613,
sarvam_saarika_v2_5,03,Whitefield,traffic_noise,easy,"मेरा ऑफिस वाइट फील्ड्स में है सर, डेली वन आवर लगता है मुझे आने में।",devanagari,0.5,0.3818,88.9,True,False,वाइटफील्ड,वाइट फील्,0.333,0.52,
sarvam_saarika_v2_5,04,Electronic City,phone_call,easy,भाई मैं इलेक्ट्रॉनिक सिटी फेस वन में जॉब करता हूँ इंफोसिस के पास।,devanagari,0.1538,0.0462,100.0,True,False,इलेक्ट्रॉनिक सिटी,इलेक्ट्रॉनिक सिटी,0.471,0.533,
sarvam_saarika_v2_5,05,Marathahalli,traffic_noise,medium,मराथाली ब्रिज के नीचे ट्रैफिक बहुत होता है रोज यार।,devanagari,0.3333,0.1633,70.6,False,True,मराठाहल्ली,मराथाली ब्,0.4,0.664,
sarvam_saarika_v2_5,06,Jayanagar,quiet,easy,फैमिली जयनगर फोर्थ ब्लॉक में शिफ्ट हो गई है पिछले साल।,devanagari,0.2,0.1667,100.0,True,False,जयनगर,जयनगर,0.0,0.576,
sarvam_saarika_v2_5,07,HSR Layout,traffic_noise,medium,एचएसएल लेआउट सेक्टर टू में डिलीवरी का काम करता हूं मैं।,devanagari,0.2727,0.0943,83.3,False,True,एचएसआर लेआउट,एचएसएल लेआउट,0.167,0.516,
sarvam_saarika_v2_5,08,BTM Layout,phone_call,medium,बीटीएम लेआउट सेकंड स्टेज में रहते हैं हम 2 साल से।,devanagari,0.1818,0.1458,100.0,True,False,बीटीएम लेआउट,बीटीएम लेआउट,0.333,0.467,
sarvam_saarika_v2_5,09,Majestic,rushed,easy,"बस स्टैंड मेजेस्टिक से मेसोर की बस मिलती है हर घंटे, ठीक है?",devanagari,0.3636,0.1961,88.9,True,False,मैजेस्टिक,मेजेस्टिक,0.444,0.563,
sarvam_saarika_v2_5,10,Hebbal,quiet,easy,"हेबल फ्लाईओवर क्रॉस करके सीधा आना, फिर लेफ्ट, मैं वहीं पर खड़ा हूं।",devanagari,0.75,0.5111,100.0,True,False,हेबल,हेबल,0.25,0.548,
sarvam_saarika_v2_5,11,Byatarayanapura,whispered,hard,मेरा एड्रेस बेत्रायनपुरा है नॉर्थ बैंगलोर साइड में,devanagari,0.2857,0.1915,75.0,False,True,ब्यातरयनपुरा,बेत्रायनपुरा,0.333,1.602,
sarvam_saarika_v2_5,12,Kadugondanahalli,phone_call,hard,कद्दूगोंदा हनली के पास एक गारमेंट फैक्ट्री में काम करता था मैं पहले।,devanagari,0.5,0.3455,54.5,False,False,कडुगोंडनहली,ूगोंदा हनली,0.273,0.562,
sarvam_saarika_v2_5,13,Hesaraghatta,quiet,hard,केसर घाटा लेक साइड में एक फार्म है हमारा हम लोग वहाँ पे वीकेंड पे जाते हैं।,devanagari,0.5,0.322,66.7,False,True,हेसरघट्टा,केसर घाटा,0.333,0.752,
sarvam_saarika_v2_5,14,Chikkabanavara,traffic_noise,hard,ए जवाब पुलिस ने चिक्का बनवा रहा है स्टेशन से ट्रेन पकड़ के आता हूँ मैं डेली।,devanagari,0.8,0.4717,81.8,False,True,चिक्कबनवारा,चिक्का बनवा,0.455,0.728,
sarvam_saarika_v2_5,15,Rajarajeshwarinagar,rushed,hard,भैया मैं राज राजेश्वरी नगर में रूम ढूँढ रहा हूँ थोड़ा सस्ता वाला,devanagari,0.6667,0.25,93.8,True,False,राजराजेश्वरी नगर,राज राजेश्वरी नग,0.375,0.604,
sarvam_saarika_v2_5,16,Kothanur Dinne,whispered,hard,कोथानूर दिने के पास वाली कॉलोनी में रहता हूँ मैं,devanagari,0.2,0.0612,88.0,True,False,कोथनूर दिन्ने,कोथानूर दिने ,0.462,0.443,
sarvam_saarika_v2_5,17,Thanisandra,phone_call,medium,तुम्हें पता है थनी संधरा मेन रोड पर नया मेट्रो स्टेशन खुल रहा है,devanagari,0.5,0.3878,66.7,False,True,थनिसंद्रा,थनी संधरा,0.333,0.58,
sarvam_saarika_v2_5,18,Doddanekundi,traffic_noise,hard,दोधन ने कुड़ी इंडस्ट्रियल एरिया में बहुत कंपनी से सर,devanagari,0.625,0.2364,60.9,False,True,दोड्डनेकुंडी,दोधन ने कुड़,0.333,0.624,
sarvam_saarika_v2_5,19,Kengeri Upanagara,rushed,hard,केंगेरी उपनगर मेट्रो तक रोड ऑटो से जाता हूँ मैं तो,devanagari,0.3333,0.2045,100.0,True,False,केंगेरी उपनगर,केंगेरी उपनगर,0.308,0.866,
sarvam_saarika_v2_5,20,Thalaghattapura,whispered,hard,थाला घाटापुरा की तरफ नई अपार्टमेंट्स बन रही हैं बहुत सारे।,devanagari,0.3333,0.2245,75.0,False,True,थलघटपुरा,घाटापुरा,0.125,0.641,
whisper_large_v3_local,01,Koramangala,quiet,easy,हां भाईया मैं कोरा मंगला में रहता हूं फिफ्ट ब्लॉक के पास,devanagari,0.5455,0.2157,88.9,True,False,कोरामंगला,कोरा मंगल,0.333,6.949,
whisper_large_v3_local,02,Indiranagar,quiet,easy,कि मेरा घर इंद्रानगर में 12 मेन रोड पर ठीक है,devanagari,0.6667,0.4,88.9,True,False,इंदिरानगर,इंद्रानगर,0.222,2.744,
whisper_large_v3_local,03,Whitefield,traffic_noise,easy,"मेरा ओफिस वाइट फिल्ड्स में है सर, डिली वन आर लगता है मुझे आने में",devanagari,0.6667,0.4364,77.8,False,True,वाइटफील्ड,वाइट फिल्,0.333,4.203,
whisper_large_v3_local,04,Electronic City,phone_call,easy,कि भाई में इलेक्ट्रोनिक सिटी फेस वन में जॉब करता हूं इन पोसिश के पास,devanagari,0.5385,0.1538,94.1,True,False,इलेक्ट्रॉनिक सिटी,इलेक्ट्रोनिक सिटी,0.471,4.094,
whisper_large_v3_local,05,Marathahalli,traffic_noise,medium,मराथली ब्रिज के नीचे ट्रैफिक बहुत होता है रोज यार,devanagari,0.3333,0.1633,66.7,False,True,मराठहल्ली,मराथली ब्,0.333,3.091,
whisper_large_v3_local,06,Jayanagar,quiet,easy,फैमिली जैनगर पोर्थ ब्लॉक में शिफ्ट हो गई है पिछले साल,devanagari,0.3,0.1875,80.0,False,True,जयनगर,जैनगर,0.0,3.528,
whisper_large_v3_local,07,HSR Layout,traffic_noise,medium,एचसा लेयाउट सक्टर टू में डिलिवरी का काम करता हूँ मैं,devanagari,0.4545,0.1698,69.6,False,True,एचएसआर लेआउट,एचसा लेयाउट ,0.333,3.482,
whisper_large_v3_local,08,BTM Layout,phone_call,medium,बीटी हम लियाओ सकिन स्टीज में रदते हैं हम दो साल से,devanagari,0.5455,0.25,69.6,False,True,बी टी एम लेआउट,बीटी हम लियाओ ,0.357,3.044,
whisper_large_v3_local,09,Majestic,rushed,easy,बस स्टैंड मेजिस्टी से मेशो और की बस मिलती है हर धंटे ठीक है,devanagari,0.5455,0.3333,55.6,False,False,मैजेस्टिक,ड मेजिस्ट,0.444,3.373,
whisper_large_v3_local,10,Hebbal,quiet,easy,हेबल फ्लाइवर क्रोस करके शीदा आना फिर लेफ्ट मैं वहीं पर खड़ा हूँ,devanagari,1.125,0.6222,100.0,True,False,हेबल,हेबल,0.25,4.563,
whisper_large_v3_local,11,Byatarayanapura,whispered,hard,मेरा अड्रेस ब्यत्रायनापुरा है नौर्थ बैंगलोर्ड साइड में,devanagari,0.7143,0.2553,76.9,False,True,ब्यातरायणपुरा,ब्यत्रायनापुर,0.385,3.595,
whisper_large_v3_local,12,Kadugondanahalli,phone_call,hard,कि तद्दुगंदा हन्यली के पास एक गार्मेंट फैक्टर में काम करता था मैं पहले,devanagari,0.7,0.4182,53.8,False,False,कडुगोंडनहल्ली,दुगंदा हन्यली,0.385,4.18,
whisper_large_v3_local,13,Hesaraghatta,quiet,hard,कि हेसरघाटा लीक साइड में फॉर्म है हमारा हम लोग वहां पर वीकंड पर जाते हैं,devanagari,0.9167,0.4576,77.8,False,True,हेसरघट्टा, हेसरघाटा,0.333,4.705,
whisper_large_v3_local,14,Chikkabanavara,traffic_noise,hard,चिक्का बनवारा स्टेशन से ट्रेन पकड़ी आता हूँ मिलेली,devanagari,0.6,0.2264,81.8,False,True,चिक्कबनवारा,चिक्का बनवा,0.455,3.208,
whisper_large_v3_local,15,Rajarajeshwarinagar,rushed,hard,भाईया मैं राज राजेश्वरी नगर में रूम ढूढ रहा हूँ थोड़ा तस्ता वाला,devanagari,0.8889,0.3077,93.8,True,False,राजराजेश्वरी नगर,राज राजेश्वरी नग,0.375,4.305,
whisper_large_v3_local,16,Kothanur Dinne,whispered,hard,कोथानूर दिने के पांच वाली कॉलोनी में रहता हूँ मैं,devanagari,0.3,0.102,88.0,True,False,कोथनूर दिन्ने,कोथानूर दिने ,0.462,3.235,
whisper_large_v3_local,17,Thanisandra,phone_call,medium,तुम्हें पता है थनी संद्राम मेन रोड पर नया मेटर स्टेशन घुल रहा है।,devanagari,0.7,0.4286,77.8,False,True,तनिसंद्रा,नी संद्रा,0.333,4.193,
whisper_large_v3_local,18,Doddanekundi,traffic_noise,hard,दो दन ने कुड़ी इंडॉस्ट्रियल एरिया में बहुत पंपनीस है सर,devanagari,0.875,0.2545,60.0,False,True,दोडनेकुंडी, दन ने कुड,0.2,3.552,
whisper_large_v3_local,19,Kengeri Upanagara,rushed,hard,केंगेरी उपनगर मेट्रो तक रोजोटो से जाता हूँ मैं तो,devanagari,0.4444,0.2273,100.0,True,False,केंगेरी उपनगर,केंगेरी उपनगर,0.308,3.3,
whisper_large_v3_local,20,Thalaghattapura,whispered,hard,ठाला घाटापुरा की तरफ नई अपार्टमेंट्स बन रहे हैं बहुत सारे।,devanagari,0.4444,0.2653,75.0,False,True,थलघटपुरा,घाटापुरा,0.125,4.231,
